!SESSION 2023-10-17 13:53:20.013 -----------------------------------------------
eclipse.buildId=2023.1
java.version=11.0.16.1
java.vendor=Eclipse Adoptium
BootLoader constants: OS=win32, ARCH=x86_64, WS=win32, NL=en_US
Command-line arguments:  -os win32 -ws win32 -arch x86_64
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Digilent JTAG-HS3 210299B938DC" && level==1}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:32.261
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Digilent JTAG-HS3 210299B938DC" && level==1}], Result: [null,      2  xck26 (idcode 04724093 irlen 12 fpga)
     3  arm_dap (idcode 5ba00477 irlen 4)]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:32.262
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)" && level==1}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:35.279
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)" && level==1}], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:35.280
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:35.284
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* Digilent JTAG-HS3 210299B938DC
  5  Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:35.284
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Digilent JTAG-HS3 210299B938DC" && level==1}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:35.296
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Digilent JTAG-HS3 210299B938DC" && level==1}], Result: [null,      2  xck26 (idcode 04724093 irlen 12 fpga)
     3  arm_dap (idcode 5ba00477 irlen 4)]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:35.297
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)" && level==1}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:38.313
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)" && level==1}], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:38.313
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:38.318
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* Digilent JTAG-HS3 210299B938DC
  5  Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:38.319
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Digilent JTAG-HS3 210299B938DC" && level==1}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:38.330
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Digilent JTAG-HS3 210299B938DC" && level==1}], Result: [null,      2  xck26 (idcode 04724093 irlen 12 fpga)
     3  arm_dap (idcode 5ba00477 irlen 4)]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:38.331
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)" && level==1}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:41.348
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)" && level==1}], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:41.348
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:41.353
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* Digilent JTAG-HS3 210299B938DC
  5  Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:41.353
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Digilent JTAG-HS3 210299B938DC" && level==1}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:41.366
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Digilent JTAG-HS3 210299B938DC" && level==1}], Result: [null,      2  xck26 (idcode 04724093 irlen 12 fpga)
     3  arm_dap (idcode 5ba00477 irlen 4)]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:41.366
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)" && level==1}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:44.385
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)" && level==1}], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:44.385
!MESSAGE XSCT Command: [version -server], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:44.387
!MESSAGE XSCT command with result: [version -server], Result: [null, 2023.1]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:44.387
!MESSAGE XSCT Command: [version], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:44.388
!MESSAGE XSCT command with result: [version], Result: [null, xsct 2023.1.0
SW Build 0 on 2023-05-03-16:48:11
Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
Copyright 2022-2023 Advanced Micro Devices, Inc. All Rights Reserved.]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:44.388
!MESSAGE XSCT Command: [jtag targets -filter {level == 0}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:44.393
!MESSAGE XSCT command with result: [jtag targets -filter {level == 0}], Result: [null,   1* Digilent JTAG-HS3 210299B938DC
  5  Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:44.393
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Digilent JTAG-HS3 210299B938DC" && level==1}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:44.406
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Digilent JTAG-HS3 210299B938DC" && level==1}], Result: [null,      2  xck26 (idcode 04724093 irlen 12 fpga)
     3  arm_dap (idcode 5ba00477 irlen 4)]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:44.407
!MESSAGE XSCT Command: [jtag targets -filter {jtag_cable_name =~ "Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)" && level==1}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:47.423
!MESSAGE XSCT command with result: [jtag targets -filter {jtag_cable_name =~ "Xilinx X-MLCC-01 XFL12CG50VE5A (error DR shift through all ones)" && level==1}], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:47.424
!MESSAGE XSCT Command: [jtag targets -set -filter {name =~ "Digilent JTAG-HS3 210299B938DC" && level == 0}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:47.437
!MESSAGE XSCT command with result: [jtag targets -set -filter {name =~ "Digilent JTAG-HS3 210299B938DC" && level == 0}], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:47.437
!MESSAGE XSCT Command: [jtag frequency], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:47.439
!MESSAGE XSCT command with result: [jtag frequency], Result: [null, 15000000]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:47.439
!MESSAGE XSCT Command: [source C:/Xilinx/Vitis/2023.1/scripts/vitis/util/zynqmp_utils.tcl], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:47.440
!MESSAGE XSCT command with result: [source C:/Xilinx/Vitis/2023.1/scripts/vitis/util/zynqmp_utils.tcl], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:47.441
!MESSAGE XSCT Command: [targets -set -nocase -filter {name =~"APU*"}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:47.448
!MESSAGE XSCT command with result: [targets -set -nocase -filter {name =~"APU*"}], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:47.448
!MESSAGE XSCT Command: [rst -system], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:47.733
!MESSAGE XSCT command with result: [rst -system], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:47.734
!MESSAGE XSCT Command: [after 3000], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:50.743
!MESSAGE XSCT command with result: [after 3000], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:50.744
!MESSAGE XSCT Command: [targets -set -nocase -filter {name =~"APU*"}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:50.751
!MESSAGE XSCT command with result: [targets -set -nocase -filter {name =~"APU*"}], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:50.751
!MESSAGE XSCT Command: [reset_apu], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:50.874
!MESSAGE XSCT command with result: [reset_apu], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:50.874
!MESSAGE XSCT Command: [targets -set -nocase -filter {name =~"RPU*"}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:50.881
!MESSAGE XSCT command with result: [targets -set -nocase -filter {name =~"RPU*"}], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:50.882
!MESSAGE XSCT Command: [clear_rpu_reset], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:53.903
!MESSAGE XSCT command with result: [clear_rpu_reset], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:53.903
!MESSAGE XSCT Command: [enable_split_mode], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:53.916
!MESSAGE XSCT command with result: [enable_split_mode], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:53.916
!MESSAGE XSCT Command: [targets -set -nocase -filter {name =~"APU*"}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:53.963
!MESSAGE XSCT command with result: [targets -set -nocase -filter {name =~"APU*"}], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:01:53.964
!MESSAGE XSCT Command: [loadhw -hw C:/Users/deoch/workspace/kv260_ispMipiRx_vcu_DP/export/kv260_ispMipiRx_vcu_DP/hw/kv260_ispMipiRx_vcu_DP.xsa -mem-ranges [list {0x80000000 0xbfffffff} {0x400000000 0x5ffffffff} {0x1000000000 0x7fffffffff}] -regs], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:02.075
!MESSAGE XSCT command with result: [loadhw -hw C:/Users/deoch/workspace/kv260_ispMipiRx_vcu_DP/export/kv260_ispMipiRx_vcu_DP/hw/kv260_ispMipiRx_vcu_DP.xsa -mem-ranges [list {0x80000000 0xbfffffff} {0x400000000 0x5ffffffff} {0x1000000000 0x7fffffffff}] -regs], Result: [null, kv260_ispMipiRx_vcu_DP_wrapper_0]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:02.076
!MESSAGE XSCT Command: [configparams force-mem-access 1], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:02.085
!MESSAGE XSCT command with result: [configparams force-mem-access 1], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:02.085
!MESSAGE XSCT Command: [targets -set -nocase -filter {name =~"APU*"}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:02.091
!MESSAGE XSCT command with result: [targets -set -nocase -filter {name =~"APU*"}], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:02.092
!MESSAGE XSCT Command: [source C:/Users/deoch/workspace/TestProject/_ide/psinit/psu_init.tcl], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:02.097
!MESSAGE XSCT command with result: [source C:/Users/deoch/workspace/TestProject/_ide/psinit/psu_init.tcl], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:02.097
!MESSAGE XSCT Command: [psu_init], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:02.956
!MESSAGE XSCT command with result: [psu_init], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:02.957
!MESSAGE XSCT Command: [after 1000], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:03.967
!MESSAGE XSCT command with result: [after 1000], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:03.967
!MESSAGE XSCT Command: [psu_ps_pl_isolation_removal], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:04.044
!MESSAGE XSCT command with result: [psu_ps_pl_isolation_removal], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:04.044
!MESSAGE XSCT Command: [after 1000], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:05.052
!MESSAGE XSCT command with result: [after 1000], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:05.053
!MESSAGE XSCT Command: [psu_ps_pl_reset_config], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:05.084
!MESSAGE XSCT command with result: [psu_ps_pl_reset_config], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:05.084
!MESSAGE XSCT Command: [catch {psu_protection}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:05.111
!MESSAGE XSCT command with result: [catch {psu_protection}], Result: [null, 0]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:05.111
!MESSAGE XSCT Command: [targets -set -nocase -filter {name =~ "*A53*#0"}], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:05.118
!MESSAGE XSCT command with result: [targets -set -nocase -filter {name =~ "*A53*#0"}], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:05.119
!MESSAGE XSCT Command: [rst -processor], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:05.150
!MESSAGE XSCT command with result: [rst -processor], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:05.151
!MESSAGE XSCT Command: [dow C:/Users/deoch/workspace/TestProject/Debug/TestProject.elf], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:05.384
!MESSAGE XSCT command with result: [dow C:/Users/deoch/workspace/TestProject/Debug/TestProject.elf], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:05.384
!MESSAGE XSCT Command: [configparams force-mem-access 0], Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:02:05.385
!MESSAGE XSCT command with result: [configparams force-mem-access 0], Result: [null, ]. Thread: Worker-5: Launching Debugger_TestProject-Default

!ENTRY com.xilinx.sdk.utils 1 0 2023-10-17 14:02:05.462
!MESSAGE Tool usage for 'TCF_APP_DEBUG' updated to '2'

!ENTRY com.xilinx.sdk.utils 0 0 2023-10-17 14:05:00.337
!MESSAGE XSCT Command: [::hsi::utils::get_hw_param_value C:/Users/deoch/workspace/kv260_ispMipiRx_vcu_DP/export/kv260_ispMipiRx_vcu_DP/hw/kv260_ispMipiRx_vcu_DP.xsa psu_pmu_0 C_DEBUG_PROFILE_SIZE], Thread: main

